term,comparison,estimate,conf.low,conf.high,adj.p.value
School_Type,Ivy League-Engineering,47652.77777777778,28422.42207445889,66883.13348109668,6.738303248710054e-10
School_Type,Liberal Arts-Engineering,-5395.626477541344,-17940.12735761963,7148.8744025369415,0.7620261872186987
School_Type,Party-Engineering,-18372.222222222175,-33075.780168460085,-3668.664275984267,0.006207038862091396
School_Type,State-Engineering,-29501.36507936503,-40703.61524829528,-18299.11491043478,5.1491921837509835e-11
School_Type,Liberal Arts-Ivy League,-53048.404255319125,-70357.29799563155,-35739.510515006696,1.7408297026122455e-13
School_Type,Party-Ivy League,-66024.99999999996,-84957.19259519395,-47092.807404805964,1.468825061579082e-13
School_Type,State-Ivy League,-77154.14285714281,-93516.40764629838,-60791.87806798724,1.006972283335017e-13
School_Type,Party-Liberal Arts,-12976.595744680832,-25059.055689395464,-894.1357999661996,0.028334785721501943
School_Type,State-Liberal Arts,-24105.738601823687,-31540.9003945862,-16670.576809061175,1.4976908602193362e-13
School_Type,State-Party,-11129.142857142855,-21811.452758687865,-446.8329555978453,0.03646939577745534
