term,comparison,estimate,conf.low,conf.high,adj.p.value
School_Type,Ivy League-Engineering,437.5,-9611.972453167096,10486.972453167096,0.9999536360741571
School_Type,Liberal Arts-Engineering,-20413.829787234034,-26969.382787812174,-13858.276786655892,1.5898393712632242e-13
School_Type,Party-Engineering,-22344.999999999993,-30028.84125722449,-14661.158742775497,5.839773109528323e-13
School_Type,State-Engineering,-25660.285714285703,-31514.400231092164,-19806.17119747924,1.0269562977782698e-13
School_Type,Liberal Arts-Ivy League,-20851.329787234034,-29896.677336787976,-11805.982237680091,1.039500774346891e-8
School_Type,Party-Ivy League,-22782.499999999993,-32676.1572416401,-12888.842758359886,1.0797549521157634e-8
School_Type,State-Ivy League,-26097.785714285703,-34648.44030470839,-17547.131123863015,1.816324868286756e-13
School_Type,Party-Liberal Arts,-1931.1702127659591,-8245.268103318693,4382.927677786774,0.9178498878271286
School_Type,State-Liberal Arts,-5246.455927051669,-9131.951066817172,-1360.9607872861675,0.002342977808479252
School_Type,State-Party,-3315.28571428571,-8897.687867837312,2267.116439265892,0.4787597612034723
