term,comparison,estimate,conf.low,conf.high,adj.p.value
School_Type,Ivy League-Engineering,-4750.000000000007,-12554.774207474748,3054.774207474734,0.45216473601968765
School_Type,Liberal Arts-Engineering,-15171.428571428572,-21827.362379538197,-8515.494763318948,1.8962515890841303e-8
School_Type,Party-Engineering,-18597.368421052633,-24799.97400748482,-12394.762834620447,1.5343282200319663e-13
School_Type,State-Engineering,-20305.029585798817,-25202.549257220242,-15407.509914377393,0
School_Type,Liberal Arts-Ivy League,-10421.428571428565,-18226.202778903305,-2616.654363953824,0.002764881243768058
School_Type,Party-Ivy League,-13847.368421052626,-21269.319756959245,-6425.4170851460085,6.237797510522114e-6
School_Type,State-Ivy League,-15555.02958579881,-21926.74399431447,-9183.31517728315,1.5920721407880478e-9
School_Type,Party-Liberal Arts,-3425.939849624061,-9628.545436056247,2776.665736808125,0.5510676231173152
School_Type,State-Liberal Arts,-5133.601014370244,-10031.120685791668,-236.08134294882075,0.034758153249346835
School_Type,State-Party,-1707.6611647461832,-5968.712693989038,2553.3903644966713,0.8051781534349675
